tool_name_version,Unnamed: 0,month_year,avg_memory
bwa_mem/0.7.17.1,1267, 2020-01 ,115463581.18443316
bwa_mem/0.7.17.1,2716, 2020-02 ,99130762.298009
bwa_mem/0.7.17.1,4236, 2020-03 ,97767415.51115672
bwa_mem/0.7.17.1,5715, 2020-04 ,82936542.85808854
bwa_mem/0.7.17.1,7166, 2020-05 ,97756060.32387792
bwa_mem/0.7.17.1,8642, 2020-06 ,104667891.15845974
bwa_mem/0.7.17.1,10110, 2020-07 ,102402845.5417847
bwa_mem/0.7.17.1,11140, 2020-08 ,103074498.91397966
bwa_mem/0.7.17.1,11743, 2020-09 ,117544757.50102644
bwa_mem/0.7.17.1,13826, 2020-10 ,91769429.82148065
bwa_mem/0.7.17.1,15172, 2020-11 ,83517308.56758013
bwa_mem/0.7.17.1,16461, 2020-12 ,83758951.74054055
bwa_mem/0.7.17.1,17646, 2021-01 ,87641899.04915205
bwa_mem/0.7.17.1,18917, 2021-02 ,99971140.99169216
bwa_mem/0.7.17.1,20362, 2021-03 ,87823970.22893411
bwa_mem/0.7.17.1,21726, 2021-04 ,87898954.33116713
bwa_mem/0.7.17.1,22427, 2021-05 ,107853988.9883836
