tool_name_version,Unnamed: 0,month_year,avg_cpu_time
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,420, 2020-01 ,28806755411010.688
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,1759, 2020-02 ,27171320479945.77
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,3212, 2020-03 ,37867961786470.65
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,4719, 2020-04 ,54036376014150.16
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,6122, 2020-05 ,60436136171668.414
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,7565, 2020-06 ,47205263901288.08
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,9096, 2020-07 ,22376750331917.223
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,10595, 2020-08 ,11829315909854.86
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,11792, 2020-09 ,17927881699840.812
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,13040, 2020-10 ,19756791563665.48
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,14316, 2020-11 ,23780539467197.406
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,15588, 2020-12 ,32832909743599.312
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,16900, 2021-01 ,21113120131754.54
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,18085, 2021-02 ,72521640833875.42
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,19458, 2021-03 ,49465098537326.32
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,20836, 2021-04 ,57477062548072.04
CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed,22189, 2021-05 ,42924172606119.56
