month_year,total_cpu_time
 2020-01 ,     265137376802942386.00000000000000
 2020-02 ,     262176071310996738.00000000000000
 2020-03 ,     377467843087539408.00000000000000
 2020-04 ,     450663375958012303.00000000000000
 2020-05 ,     457622423091873300.00000000000000
 2020-06 ,     230550508893890973.00000000000000
 2020-07 ,     135334586007435360.00000000000000
 2020-08 ,      93806475165149032.00000000000000
 2020-09 ,     156349056304311716.00000000000000
 2020-10 ,     175993499249132122.00000000000000
 2020-11 ,     214357782757317479.00000000000000
 2020-12 ,     333352532626763820.00000000000000
 2021-01 ,     171142951788002316.00000000000000
 2021-02 ,     404090582726353939.00000000000000
 2021-03 ,     462004020338627828.00000000000000
 2021-04 ,     534881544072358392.00000000000000
 2021-05 ,     365885647294563060.00000000000000
